question,category,label
عايز اعرف ازاي رسوم شهادة الوفاة كام؟,Civil Affairs,0
ممكن حد يفهمني اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
عايز اعرف ازاي اسجل في ضريبة القيمة المضافة؟,Taxes,2
انا تايه، عايز اعرف استخرج قسيمة الطلاق؟,Personal Status,1
ممكن حد يفهمني اعدل بيانات في رخصة المركبة؟,Traffic,3
لو سمحت عايز اعرف الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
لو سمحت عايز اعرف اعدل بيانات تسجيل المركبة؟,Traffic,3
انا محتاج اعدل بيانات التسجيل الضريبي؟,Taxes,2
ممكن تقولي ازاي غرامة تأخير الاقرار الضريبي كام؟,Taxes,2
عايز اعرف ازاي قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
ينفع شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
ممكن حد يفهمني احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
انا محتاج المستندات المطلوبة لتجديد الرخصة؟,Traffic,3
عايز اعرف رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
انا محتاج رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
عايز اعرف ادفع مخالفة المرور اونلاين؟,Traffic,3
عايز اعرف اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
ممكن تقولي ازاي التسجيل الضريبي بياخد وقت قد ايه؟,Taxes,2
فين اروح علشان ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,2
عايز اعرف القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,0
عايز اعرف اسجل عربية جديدة في المرور؟,Traffic,3
لو سمحت عايز اعرف افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,0
عايز اعرف قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
عايز اعرف ازاي مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,2
ممكن حد يفهمني استخرج قسيمة الطلاق؟,Personal Status,1
انا محتاج اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
انا محتاج استخرج شهادة وفاة لأبويا؟,Civil Affairs,0
عايز اعرف اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,3
عايز اعرف اعفاءات ضريبة الدخل ايه هي؟,Taxes,2
عايز اعرف اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
عايز اعرف ازاي احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
فين اروح علشان قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
هعمل ايه علشان الفرق بين الطلاق والخلع ايه؟,Personal Status,1
لو سمحت عايز اعرف اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
عايز اعرف ازاي رسوم رخصة القيادة كام؟,Traffic,3
لو سمحت عايز اعرف افسخ تسجيل عربية قديمة؟,Traffic,3
