question,category,subcategory
ينفع اعدل بيانات في البطاقة الضريبية؟,Taxes,tax_card
انا محتاج تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
ممكن تقولي ازاي مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
ممكن حد يفهمني الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
ممكن تقولي ازاي افرق قيدي عن قيد اهلي؟,Civil Affairs,family_record
لو سمحت عايز اعرف الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,vat
انا محتاج القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,vat
فين اروح علشان تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
ممكن تقولي ازاي احسب ضريبة الدخل على مرتبي؟,Taxes,income_tax
فين اروح علشان رسوم القيد الفردي كام؟,Civil Affairs,individual_record
عايز اعرف اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
لو سمحت عايز اعرف استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
عايز اعرف المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
لو سمحت عايز اعرف فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,renewal
انا تايه، عايز اعرف رسوم رخصة القيادة كام؟,Traffic,driving_license
ممكن تقولي ازاي المستندات المطلوبة لاستخراج رخصة القيادة؟,Traffic,driving_license
ينفع احذف اسم من القيد العائلي؟,Civil Affairs,family_record
هعمل ايه علشان انقل ملكية عربية لشخص تاني؟,Traffic,vehicle_registration
ممكن حد يفهمني الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,social_status
ممكن تقولي ازاي اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,social_status
انا محتاج اعدل بيانات في البطاقة الضريبية؟,Taxes,tax_card
ممكن حد يفهمني اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,vat
هعمل ايه علشان استخرج البطاقة الضريبية؟,Taxes,tax_card
فين اروح علشان اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,national_id
انا محتاج اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,divorce
عايز اعرف اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,vat
انا تايه، عايز اعرف اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,divorce
ممكن حد يفهمني اقدم على رخصة القيادة اونلاين؟,Traffic,driving_license
لو سمحت عايز اعرف تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
انا تايه، عايز اعرف احذف اسم من القيد العائلي؟,Civil Affairs,family_record
